みぎがわ	右側
みず	水
みなみ	南
みた	見た
みばえ	見栄え
みる	見る
みるまで	見るまで
むずかしい	難しい
むちゃ	無茶
むもんだい	無問題
むり	無理
むりょう	無料
めいろ	迷路
もの	物
もやした	燃やした
もやす	燃やす
もんく	文句
もんだい    問題
やいた	焼いた
やかん	夜間
やきいし	焼き石
やすい	安い
ゆうじん	友人
ようす	様子
ようもう    羊毛
よにん	四人
よばない	呼ばない
よび	予備
よびつける	呼びつける
よぶ	呼ぶ
よる	夜
りょくち	緑地
りょうかい	了解
れんきん	錬金
れんきんじゅつ	錬金術
れんしゅう	練習
ろくにん	六人
わかった	分かった
わかない	湧かない
わからない	分からない
わかる	分かる
わたし	私
